instance,context,carry,not carry
cpd7,2,-2.0,-0.060975609756097546
cpd7,2,-2.0,-2.5000000000000004
cpd3,2,-2.0,-0.23529411764705885
cpd3,2,-2.0,-2.0000000000000004
cpd11,2,-2.0,-1.142857142857143
cpd11,2,-2.0,-4.0
cpd2,2,-2.0,-1.7241379310344827
cpd2,2,-2.0,-3.571428571428571
cpd13,2,-2.0,-0.49999999999999994
cpd13,2,-2.0,-3.0000000000000004
cpd6,2,-2.0,-0.4545454545454544
cpd6,2,-2.0,-5.0
cpd10,2,-2.0,-7.692307692307694
cpd10,2,-2.0,-12.5
cpd14,2,-2.0,-2.5
cpd14,2,-2.0,-15.000000000000002
cpd15,2,-2.0,-0.34482758620689646
cpd15,2,-2.0,-4.2857142857142865
cpd4,2,-2.0,-1.1764705882352944
cpd4,2,-2.0,-10.000000000000002
cpd1,2,-2.0,-0.3448275862068966
cpd1,2,-2.0,-0.7142857142857142
cpd5,2,-2.0,-0.09090909090909088
cpd5,2,-2.0,-1.0
cpd16,2,-2.0,-1.7241379310344824
cpd16,2,-2.0,-21.42857142857143
cpd8,2,-2.0,-0.30487804878048774
cpd8,2,-2.0,-12.500000000000004
cpd9,2,-2.0,-1.5384615384615388
cpd9,2,-2.0,-2.5
cpd12,2,-2.0,-5.714285714285714
cpd12,2,-2.0,-20.0
