instance,context,not screen,screen
cpd24,1,-225.0,-77.60003638750001
cpd10,1,-4.500000000000001,-44.5
cpd9,1,-45.000000000000014,-67.6000362325
cpd2,1,-18.000000000000004,-24.000000000000004
cpd22,1,-22.500000000000004,-44.5
cpd23,1,-90.00000000000001,-58.00000000000001
cpd13,1,-22.500000000000004,-10.500000000000002
cpd15,1,-225.0,-33.6000362325
cpd21,1,-225.0,-67.6000362325
cpd4,1,-4.500000000000001,-10.5
cpd18,1,-225.0,-43.600036387500005
cpd7,1,-4.500000000000001,-44.5
cpd12,1,-45.000000000000014,-77.60003638750001
cpd11,1,-18.000000000000004,-58.0
cpd6,1,-45.000000000000014,-43.600036387500005
cpd1,1,-4.500000000000001,-10.5
cpd17,1,-90.00000000000001,-24.000000000000007
cpd5,1,-18.000000000000004,-24.000000000000004
cpd16,1,-22.500000000000004,-10.500000000000002
cpd3,1,-45.000000000000014,-33.6000362325
cpd8,1,-18.000000000000004,-58.0
cpd19,1,-22.500000000000004,-44.5
cpd20,1,-90.00000000000001,-58.00000000000001
cpd14,1,-90.00000000000001,-24.000000000000007
