instance,context,study less,study more
cpd5,1,0.37999999999999995,0.415
cpd18,1,0.3799997999999999,0.41999974999999995
cpd11,1,0.3500000000000001,0.38
cpd2,1,0.37,0.4
cpd22,1,0.33000019999999997,0.3650002
cpd3,1,0.37999989999999995,0.4099999
cpd24,1,0.3500000999999999,0.38500009999999996
cpd8,1,0.38999989999999995,0.4299998500000001
cpd26,1,0.35000010000000004,0.39000005
cpd12,1,0.3599999,0.38999989999999995
cpd10,1,0.3400000000000001,0.37
cpd16,1,0.35999990000000004,0.39999984999999993
cpd21,1,0.34000009999999997,0.3700001
cpd19,1,0.32000019999999996,0.3500002
cpd20,1,0.33000019999999997,0.3600002
cpd23,1,0.3400002,0.37500019999999995
cpd6,1,0.38999989999999995,0.4249999
cpd17,1,0.36999990000000005,0.40999985000000005
cpd27,1,0.36,0.39999994999999994
cpd1,1,0.36,0.38999999999999996
cpd14,1,0.3600000000000001,0.395
cpd4,1,0.37,0.405
cpd13,1,0.35,0.38499999999999995
cpd7,1,0.37999990000000006,0.41999985000000006
cpd9,1,0.3999998,0.43999974999999997
cpd25,1,0.3400001,0.38000005000000003
cpd15,1,0.3699999,0.40499989999999997
