instance,replicate_id,method,mean_rank,sem_rank,mean_loss,sem_loss,model
da-01-longTermCareInsurance,0,dellma,0.4375,0.07099522928088309,-0.5720690815589216,0.07011707554169756,Gpt4o
da-01-longTermCareInsurance,1,dellma,0.4453125,0.07423532815696701,-0.5622145961589442,0.07557661705428277,Gpt4o
da-01-longTermCareInsurance,2,dellma,0.4921875,0.07316675382936856,-0.5174150042702903,0.07559886958745378,Gpt4o
da-01-longTermCareInsurance,3,dellma,0.453125,0.07482969575599972,-0.5462202511630876,0.07599463639102616,Gpt4o
da-01-longTermCareInsurance,4,dellma,0.4140625,0.06975021588445027,-0.5839386191686973,0.07202023176895943,Gpt4o
da-01-longTermCareInsurance,0,dellma-sc,0.3828125,0.07444720251763402,-0.6240514807221657,0.0730994853361106,Gpt4o
da-01-longTermCareInsurance,1,dellma-sc,0.421875,0.07566697715286116,-0.586470712236818,0.07582353033086653,Gpt4o
da-01-longTermCareInsurance,2,dellma-sc,0.328125,0.07398293926588313,-0.6668060641451823,0.07399166081880255,Gpt4o
da-01-longTermCareInsurance,3,dellma-sc,0.4140625,0.07064772240096313,-0.5972158280078907,0.06971034786766875,Gpt4o
da-01-longTermCareInsurance,4,dellma-sc,0.4140625,0.07985730642916129,-0.5848347757671222,0.08114073443093398,Gpt4o
da-02-carryUmbrella,0,dellma,0.5,0.08980265101338744,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,1,dellma,0.5,0.09284766908852593,-0.4666666666666667,0.09264111117062017,Gpt4o
da-02-carryUmbrella,2,dellma,0.5,0.08980265101338744,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,3,dellma,0.43333333333333335,0.0920186554465537,-0.5333333333333333,0.09264111117062016,Gpt4o
da-02-carryUmbrella,4,dellma,0.5625,0.08909830562090465,-0.40625,0.0882099653319905,Gpt4o
da-02-carryUmbrella,0,dellma-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,1,dellma-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,2,dellma-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,3,dellma-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,Gpt4o
da-02-carryUmbrella,4,dellma-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,Gpt4o
da-04-cargoContainerScreening,0,dellma,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,1,dellma,0.5454545454545454,0.10865714630312667,-0.45454545454545453,0.10865714630312667,Gpt4o
da-04-cargoContainerScreening,2,dellma,0.4583333333333333,0.10389457216622949,-0.5416666666666666,0.10389457216622949,Gpt4o
da-04-cargoContainerScreening,3,dellma,0.5238095238095238,0.11167656571008167,-0.47619047619047616,0.11167656571008167,Gpt4o
da-04-cargoContainerScreening,4,dellma,0.43478260869565216,0.10568965974008647,-0.5652173913043478,0.10568965974008647,Gpt4o
da-04-cargoContainerScreening,0,dellma-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,1,dellma-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,2,dellma-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,3,dellma-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-04-cargoContainerScreening,4,dellma-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,Gpt4o
da-05-chemicalUsage,0,dellma,0.5769230769230769,0.11102889792108188,-0.342142100711443,0.12246637071497342,Gpt4o
da-05-chemicalUsage,1,dellma,0.5416666666666666,0.12995239998794275,-0.41494150585035494,0.1431539815030611,Gpt4o
da-05-chemicalUsage,2,dellma,0.43333333333333335,0.11818736805705576,-0.5399599595332012,0.13106200347055635,Gpt4o
da-05-chemicalUsage,3,dellma,0.4666666666666667,0.1140871290543899,-0.4716239566195203,0.12767995265839074,Gpt4o
da-05-chemicalUsage,4,dellma,0.4642857142857143,0.09755648848661926,-0.4413848946250313,0.1259539183451451,Gpt4o
da-05-chemicalUsage,0,dellma-sc,0.5,0.11952286093343935,-0.46567593996573725,0.12945397222477376,Gpt4o
da-05-chemicalUsage,1,dellma-sc,0.5769230769230769,0.12462962881553577,-0.3818009140146716,0.13577932213830354,Gpt4o
da-05-chemicalUsage,2,dellma-sc,0.5357142857142857,0.12252254462075692,-0.4275099356775756,0.13287510203244593,Gpt4o
da-05-chemicalUsage,3,dellma-sc,0.5,0.11720180773462385,-0.4332615067833042,0.1316316126376186,Gpt4o
da-05-chemicalUsage,4,dellma-sc,0.4583333333333333,0.12995239998794275,-0.5009111293966167,0.1447496995016708,Gpt4o
da-06-stayAtHome,0,dellma,0.6956521739130435,0.09810018692482893,-0.30434782608695654,0.09810018692482893,Gpt4o
da-06-stayAtHome,1,dellma,0.6774193548387096,0.08534681648595453,-0.3225806451612903,0.08534681648595453,Gpt4o
da-06-stayAtHome,2,dellma,0.5862068965517241,0.0930760769837004,-0.41379310344827586,0.0930760769837004,Gpt4o
da-06-stayAtHome,3,dellma,0.48148148148148145,0.09799078929868854,-0.5185185185185185,0.09799078929868854,Gpt4o
da-06-stayAtHome,4,dellma,0.5625,0.08909830562090465,-0.4375,0.08909830562090465,Gpt4o
da-06-stayAtHome,0,dellma-sc,0.6086956521739131,0.10405096111532161,-0.391304347826087,0.10405096111532162,Gpt4o
da-06-stayAtHome,1,dellma-sc,0.6153846153846154,0.09730085108210398,-0.38461538461538464,0.097300851082104,Gpt4o
da-06-stayAtHome,2,dellma-sc,0.5769230769230769,0.09880948137434714,-0.4230769230769231,0.09880948137434714,Gpt4o
da-06-stayAtHome,3,dellma-sc,0.5833333333333334,0.10279899245732688,-0.4166666666666667,0.10279899245732686,Gpt4o
da-06-stayAtHome,4,dellma-sc,0.6666666666666666,0.0875376219064817,-0.3333333333333333,0.0875376219064817,Gpt4o
gpt-01-disasterManagement,0,dellma,0.375,0.18298126367784995,-0.625,0.18298126367784995,Gpt4o
gpt-01-disasterManagement,1,dellma,0.6666666666666666,0.16666666666666666,-0.3333333333333333,0.16666666666666666,Gpt4o
gpt-01-disasterManagement,2,dellma,0.375,0.18298126367784995,-0.625,0.18298126367784995,Gpt4o
gpt-01-disasterManagement,3,dellma,0.4444444444444444,0.17568209223157663,-0.5555555555555556,0.17568209223157663,Gpt4o
gpt-01-disasterManagement,4,dellma,0.125,0.125,-0.875,0.125,Gpt4o
gpt-01-disasterManagement,0,dellma-sc,0.4444444444444444,0.17568209223157663,-0.5555555555555556,0.17568209223157663,Gpt4o
gpt-01-disasterManagement,1,dellma-sc,0.3333333333333333,0.16666666666666666,-0.6666666666666666,0.16666666666666666,Gpt4o
gpt-01-disasterManagement,2,dellma-sc,0.4444444444444444,0.17568209223157663,-0.5555555555555556,0.17568209223157663,Gpt4o
gpt-01-disasterManagement,3,dellma-sc,0.4444444444444444,0.17568209223157663,-0.5555555555555556,0.17568209223157663,Gpt4o
gpt-01-disasterManagement,4,dellma-sc,0.3333333333333333,0.16666666666666666,-0.6666666666666666,0.16666666666666666,Gpt4o
gpt-02-scienceArtSelection,0,dellma,0.8888888888888888,0.11111111111111112,-0.1111111111111111,0.1111111111111111,Gpt4o
gpt-02-scienceArtSelection,1,dellma,0.8888888888888888,0.11111111111111112,-0.1111111111111111,0.1111111111111111,Gpt4o
gpt-02-scienceArtSelection,2,dellma,0.875,0.125,-0.125,0.125,Gpt4o
gpt-02-scienceArtSelection,3,dellma,0.6666666666666666,0.16666666666666666,-0.3333333333333333,0.16666666666666666,Gpt4o
gpt-02-scienceArtSelection,4,dellma,0.6666666666666666,0.16666666666666666,-0.3333333333333333,0.16666666666666666,Gpt4o
gpt-02-scienceArtSelection,0,dellma-sc,0.8888888888888888,0.11111111111111112,-0.1111111111111111,0.1111111111111111,Gpt4o
gpt-02-scienceArtSelection,1,dellma-sc,0.8888888888888888,0.11111111111111112,-0.1111111111111111,0.1111111111111111,Gpt4o
gpt-02-scienceArtSelection,2,dellma-sc,0.8888888888888888,0.11111111111111112,-0.1111111111111111,0.1111111111111111,Gpt4o
gpt-02-scienceArtSelection,3,dellma-sc,0.8888888888888888,0.11111111111111112,-0.1111111111111111,0.1111111111111111,Gpt4o
gpt-02-scienceArtSelection,4,dellma-sc,0.8888888888888888,0.11111111111111112,-0.1111111111111111,0.1111111111111111,Gpt4o
gpt-03-electricVehicleMarketing,0,dellma,0.5833333333333334,0.10279899245732688,-0.4166666666666667,0.10279899245732686,Gpt4o
gpt-03-electricVehicleMarketing,1,dellma,0.5769230769230769,0.09880948137434714,-0.4230769230769231,0.09880948137434714,Gpt4o
gpt-03-electricVehicleMarketing,2,dellma,0.72,0.0916515138991168,-0.28,0.0916515138991168,Gpt4o
gpt-03-electricVehicleMarketing,3,dellma,0.5454545454545454,0.10865714630312667,-0.45454545454545453,0.10865714630312667,Gpt4o
gpt-03-electricVehicleMarketing,4,dellma,0.6153846153846154,0.09730085108210398,-0.38461538461538464,0.09730085108210398,Gpt4o
gpt-03-electricVehicleMarketing,0,dellma-sc,0.6296296296296297,0.09470524295495533,-0.37037037037037035,0.09470524295495533,Gpt4o
gpt-03-electricVehicleMarketing,1,dellma-sc,0.6153846153846154,0.09730085108210398,-0.38461538461538464,0.09730085108210398,Gpt4o
gpt-03-electricVehicleMarketing,2,dellma-sc,0.6153846153846154,0.09730085108210398,-0.38461538461538464,0.09730085108210398,Gpt4o
gpt-03-electricVehicleMarketing,3,dellma-sc,0.6153846153846154,0.09730085108210398,-0.38461538461538464,0.09730085108210398,Gpt4o
gpt-03-electricVehicleMarketing,4,dellma-sc,0.6296296296296297,0.09470524295495533,-0.37037037037037035,0.09470524295495533,Gpt4o
gpt-04-agriculturalProduction,0,dellma,1.0,0.0,0.0,0.0,Gpt4o
gpt-04-agriculturalProduction,1,dellma,1.0,0.0,0.0,0.0,Gpt4o
gpt-04-agriculturalProduction,2,dellma,1.0,0.0,0.0,0.0,Gpt4o
