instance_name,level,replicate_id,node_precision,node_recall,node_f1,edge_precision,edge_recall,edge_f1,n_ged
da-01-longTermCareInsurance,background,0,1.0,0.8571428571428571,0.923076923076923,0.2,0.07692307692307693,0.1111111111111111,0.6451612903225806
da-01-longTermCareInsurance,background,1,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.3333333333333333,0.07692307692307693,0.125,0.6551724137931034
da-01-longTermCareInsurance,background,2,1.0,0.8571428571428571,0.923076923076923,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.65625
da-01-longTermCareInsurance,background,3,1.0,0.8571428571428571,0.923076923076923,0.25,0.07692307692307693,0.11764705882352941,0.6
da-01-longTermCareInsurance,background,4,1.0,0.8571428571428571,0.923076923076923,0.25,0.07692307692307693,0.11764705882352941,0.6
da-02-carryUmbrella,background,0,0.8,1.0,0.888888888888889,0.4,0.5,0.4444444444444445,0.3333333333333333
da-02-carryUmbrella,background,1,0.5,0.5,0.5,0.25,0.25,0.25,0.625
da-02-carryUmbrella,background,2,0.4,0.5,0.4444444444444445,0.25,0.25,0.25,0.6470588235294118
da-02-carryUmbrella,background,3,0.5,0.5,0.5,0.75,0.75,0.75,0.375
da-02-carryUmbrella,background,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
da-04-cargoContainerScreening,background,0,0.8571428571428571,0.6666666666666666,0.75,0.75,0.25,0.375,0.4375
da-04-cargoContainerScreening,background,1,0.8571428571428571,0.6666666666666666,0.75,1.0,0.4166666666666667,0.5882352941176471,0.3333333333333333
da-04-cargoContainerScreening,background,2,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.75,0.5,0.6,0.2631578947368421
da-04-cargoContainerScreening,background,3,0.8571428571428571,0.6666666666666666,0.75,0.6,0.25,0.35294117647058826,0.45454545454545453
da-04-cargoContainerScreening,background,4,0.8571428571428571,0.6666666666666666,0.75,1.0,0.4166666666666667,0.5882352941176471,0.3333333333333333
da-05-chemicalUsage,background,0,1.0,0.8333333333333334,0.9090909090909091,0.5,0.3333333333333333,0.4,0.42857142857142855
da-05-chemicalUsage,background,1,1.0,0.8333333333333334,0.9090909090909091,0.75,0.5,0.6,0.3333333333333333
da-05-chemicalUsage,background,2,1.0,0.8333333333333334,0.9090909090909091,0.75,0.5,0.6,0.3333333333333333
da-05-chemicalUsage,background,3,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5
da-05-chemicalUsage,background,4,0.8,0.6666666666666666,0.7272727272727272,0.25,0.16666666666666666,0.2,0.6190476190476191
da-06-stayAtHome,background,0,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.375,0.15789473684210525,0.22222222222222218,0.5918367346938775
da-06-stayAtHome,background,1,0.75,0.46153846153846156,0.5714285714285714,0.2857142857142857,0.10526315789473684,0.15384615384615385,0.6595744680851063
da-06-stayAtHome,background,2,0.75,0.46153846153846156,0.5714285714285714,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.7021276595744681
da-06-stayAtHome,background,3,0.8571428571428571,0.46153846153846156,0.6,0.0,0.0,0.0,0.7659574468085106
da-06-stayAtHome,background,4,0.75,0.46153846153846156,0.5714285714285714,0.2857142857142857,0.10526315789473684,0.15384615384615385,0.6595744680851063
gpt-01-disasterManagement,background,0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-01-disasterManagement,background,1,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-01-disasterManagement,background,2,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-01-disasterManagement,background,3,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-01-disasterManagement,background,4,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-02-scienceArtSelection,background,0,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-02-scienceArtSelection,background,1,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-02-scienceArtSelection,background,2,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-02-scienceArtSelection,background,3,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-02-scienceArtSelection,background,4,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-03-electricVehicleMarketing,background,0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.1111111111111111
gpt-03-electricVehicleMarketing,background,1,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.1111111111111111
gpt-03-electricVehicleMarketing,background,2,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.1111111111111111
gpt-03-electricVehicleMarketing,background,3,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.1111111111111111
gpt-03-electricVehicleMarketing,background,4,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.1111111111111111
gpt-04-agriculturalProduction,background,0,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,0.2727272727272727
gpt-04-agriculturalProduction,background,1,1.0,0.8333333333333334,0.9090909090909091,0.16666666666666666,0.2,0.1818181818181818,0.5909090909090909
gpt-04-agriculturalProduction,background,2,1.0,1.0,1.0,1.0,0.6,0.7499999999999999,0.1
gpt-04-agriculturalProduction,background,3,1.0,0.8333333333333334,0.9090909090909091,0.4,0.4,0.4000000000000001,0.47619047619047616
gpt-04-agriculturalProduction,background,4,1.0,0.8333333333333334,0.9090909090909091,0.16666666666666666,0.2,0.1818181818181818,0.5909090909090909
