,instance,cpd_instance,tvd,kl,js,optimal_action
0,gpt-04-agriculturalProduction,1,0.172,0.241,0.025,expand
1,gpt-04-agriculturalProduction,2,0.645,1.151,0.317,expand
2,gpt-04-agriculturalProduction,3,0.198,0.163,0.032,expand
3,gpt-04-agriculturalProduction,4,0.549,0.871,0.238,do not expand
4,gpt-04-agriculturalProduction,5,0.174,0.139,0.026,expand
5,gpt-04-agriculturalProduction,6,0.116,0.068,0.018,do not expand
6,gpt-04-agriculturalProduction,7,0.675,1.288,0.343,expand
7,gpt-04-agriculturalProduction,8,0.637,1.201,0.321,do not expand
8,gpt-04-agriculturalProduction,9,0.636,1.232,0.325,do not expand
9,gpt-03-electricVehicleMarketing,1,0.062,0.424,0.013,launch
10,gpt-03-electricVehicleMarketing,2,0.412,3.619,0.238,not launch
11,gpt-03-electricVehicleMarketing,3,0.425,4.416,0.25,not launch
12,gpt-03-electricVehicleMarketing,4,0.226,0.313,0.097,launch
13,gpt-03-electricVehicleMarketing,5,0.065,0.432,0.013,launch
14,gpt-03-electricVehicleMarketing,6,0.058,0.534,0.013,launch
15,gpt-03-electricVehicleMarketing,7,0.218,0.295,0.093,launch
16,gpt-03-electricVehicleMarketing,8,0.072,0.302,0.013,launch
17,gpt-03-electricVehicleMarketing,9,0.246,0.345,0.107,launch
18,gpt-03-electricVehicleMarketing,10,0.116,0.829,0.032,not launch
19,gpt-03-electricVehicleMarketing,11,0.066,0.651,0.017,launch
20,gpt-03-electricVehicleMarketing,12,0.06,0.75,0.017,launch
21,gpt-03-electricVehicleMarketing,13,0.088,0.721,0.023,launch
22,gpt-03-electricVehicleMarketing,14,0.079,0.763,0.021,launch
23,gpt-03-electricVehicleMarketing,15,0.07,0.811,0.019,launch
24,gpt-03-electricVehicleMarketing,16,0.104,0.891,0.029,launch
25,gpt-03-electricVehicleMarketing,17,0.093,0.881,0.025,launch
26,gpt-03-electricVehicleMarketing,18,0.384,2.11,0.21,not launch
27,gpt-03-electricVehicleMarketing,19,0.083,0.707,0.022,launch
28,gpt-03-electricVehicleMarketing,20,0.074,0.753,0.02,launch
29,gpt-03-electricVehicleMarketing,21,0.388,2.806,0.216,not launch
30,gpt-03-electricVehicleMarketing,22,0.105,1.139,0.032,launch
31,gpt-03-electricVehicleMarketing,23,0.094,1.121,0.029,launch
32,gpt-03-electricVehicleMarketing,24,0.269,0.563,0.121,launch
33,gpt-03-electricVehicleMarketing,25,0.128,1.582,0.042,launch
34,gpt-03-electricVehicleMarketing,26,0.114,1.501,0.037,launch
35,gpt-03-electricVehicleMarketing,27,0.1,1.432,0.033,launch
36,da-04-cargoContainerScreening,1,1.0,26.186,0.693,-9999999
37,da-04-cargoContainerScreening,2,1.0,26.186,0.693,-9999999
38,da-04-cargoContainerScreening,3,1.0,26.186,0.693,-9999999
39,da-04-cargoContainerScreening,4,1.0,26.186,0.693,-9999999
40,da-04-cargoContainerScreening,5,1.0,26.186,0.693,-9999999
41,da-04-cargoContainerScreening,6,1.0,26.186,0.693,-9999999
42,da-04-cargoContainerScreening,7,1.0,26.186,0.693,-9999999
43,da-04-cargoContainerScreening,8,1.0,26.186,0.693,-9999999
44,da-04-cargoContainerScreening,9,1.0,26.186,0.693,-9999999
45,da-04-cargoContainerScreening,10,1.0,26.186,0.693,-9999999
46,da-04-cargoContainerScreening,11,1.0,26.186,0.693,-9999999
47,da-04-cargoContainerScreening,12,1.0,26.186,0.693,-9999999
48,da-04-cargoContainerScreening,13,1.0,26.186,0.693,-9999999
49,da-04-cargoContainerScreening,14,1.0,26.186,0.693,-9999999
50,da-04-cargoContainerScreening,15,1.0,26.186,0.693,-9999999
51,da-04-cargoContainerScreening,16,1.0,26.186,0.693,-9999999
52,da-04-cargoContainerScreening,17,1.0,26.186,0.693,-9999999
53,da-04-cargoContainerScreening,18,1.0,26.186,0.693,-9999999
54,da-04-cargoContainerScreening,19,1.0,26.186,0.693,-9999999
55,da-04-cargoContainerScreening,20,1.0,26.186,0.693,-9999999
56,da-04-cargoContainerScreening,21,1.0,26.186,0.693,-9999999
57,da-04-cargoContainerScreening,22,1.0,26.186,0.693,-9999999
58,da-04-cargoContainerScreening,23,1.0,26.186,0.693,-9999999
59,da-04-cargoContainerScreening,24,1.0,26.186,0.693,-9999999
60,da-02-carryUmbrella,1,0.055,1.199,0.036,-9999999
61,da-02-carryUmbrella,2,0.055,1.199,0.036,-9999999
62,da-02-carryUmbrella,3,0.055,1.199,0.036,not carry
63,da-02-carryUmbrella,4,0.055,1.199,0.036,not carry
64,da-02-carryUmbrella,5,0.055,1.217,0.036,-9999999
65,da-02-carryUmbrella,6,0.055,1.217,0.036,-9999999
66,da-02-carryUmbrella,7,0.055,1.217,0.036,not carry
67,da-02-carryUmbrella,8,0.055,1.217,0.036,not carry
68,da-02-carryUmbrella,9,0.203,5.058,0.14,carry
69,da-02-carryUmbrella,10,0.203,5.058,0.14,carry
70,da-02-carryUmbrella,11,0.203,5.058,0.14,carry
71,da-02-carryUmbrella,12,0.203,5.058,0.14,carry
72,da-02-carryUmbrella,13,0.203,5.131,0.14,not carry
73,da-02-carryUmbrella,14,0.203,5.131,0.14,not carry
74,da-02-carryUmbrella,15,0.5,12.959,0.347,carry
75,da-02-carryUmbrella,16,0.203,5.131,0.14,not carry
76,gpt-06-examPreparation,1,0.06,0.022,0.006,study more
77,gpt-06-examPreparation,2,0.0,0.0,-0.0,study more
