,instance,cpd_instance,tvd,kl,js,bs,optimal_action
0,gpt-05-trafficManagement,1,0.0,0.0,0.0,0.0,apply restrictions
1,gpt-05-trafficManagement,2,0.0,0.0,0.0,0.0,apply restrictions
2,gpt-05-trafficManagement,3,0.0,0.0,0.0,0.0,apply restrictions
3,gpt-05-trafficManagement,4,0.0,0.0,0.0,0.0,apply restrictions
4,gpt-05-trafficManagement,5,0.0,0.0,0.0,0.0,apply restrictions
5,gpt-05-trafficManagement,6,0.0,0.0,0.0,0.0,apply restrictions
6,gpt-05-trafficManagement,7,0.0,0.0,0.0,0.0,do not apply restrictions
7,gpt-05-trafficManagement,8,0.0,0.0,0.0,0.0,do not apply restrictions
8,gpt-05-trafficManagement,9,0.0,-0.0,0.0,0.0,do not apply restrictions
9,gpt-09-productDevelopment,1,0.0,0.0,0.0,0.0,do not invest
10,gpt-09-productDevelopment,2,0.224,4.752,0.099,0.0,invest
11,gpt-09-productDevelopment,3,0.0,0.0,0.0,0.0,invest
12,gpt-09-productDevelopment,4,0.0,-0.0,0.0,0.0,do not invest
13,gpt-09-productDevelopment,5,0.0,-0.0,0.0,0.0,do not invest
14,gpt-09-productDevelopment,6,0.0,-0.0,0.0,0.0,do not invest
15,gpt-09-productDevelopment,7,0.0,0.0,-0.0,0.0,do not invest
16,gpt-09-productDevelopment,8,0.0,0.0,0.0,0.0,do not invest
17,gpt-09-productDevelopment,9,0.0,0.0,-0.0,0.0,do not invest
18,gpt-09-productDevelopment,10,0.0,0.0,0.0,0.0,do not invest
19,gpt-09-productDevelopment,11,0.0,-0.0,0.0,0.0,invest
20,gpt-09-productDevelopment,12,0.0,-0.0,-0.0,0.0,invest
21,gpt-09-productDevelopment,13,0.0,0.0,0.0,0.0,do not invest
22,gpt-09-productDevelopment,14,0.0,0.0,-0.0,0.0,do not invest
23,gpt-09-productDevelopment,15,0.0,-0.0,0.0,0.0,do not invest
24,gpt-09-productDevelopment,16,0.0,-0.0,0.0,0.0,do not invest
25,gpt-09-productDevelopment,17,0.0,-0.0,0.0,0.0,do not invest
26,gpt-09-productDevelopment,18,0.0,-0.0,0.0,0.0,do not invest
27,gpt-09-productDevelopment,19,0.0,0.0,0.0,0.0,invest
28,gpt-09-productDevelopment,20,0.0,0.0,-0.0,0.0,invest
29,gpt-09-productDevelopment,21,0.0,0.0,0.0,0.0,invest
30,gpt-09-productDevelopment,22,0.0,0.0,-0.0,0.0,do not invest
31,gpt-09-productDevelopment,23,0.0,-0.0,0.0,0.0,do not invest
32,gpt-09-productDevelopment,24,0.0,-0.0,0.0,0.0,invest
