instance,context,launch decision
cpd10,1,launch
cpd11,1,not launch
cpd14,1,launch
cpd17,1,not launch
cpd3,1,not launch
cpd13,1,not launch
cpd15,1,launch
cpd18,1,not launch
cpd21,1,not launch
cpd6,1,not launch
cpd5,1,launch
cpd8,1,not launch
cpd4,1,not launch
cpd27,1,not launch
cpd2,1,not launch
cpd7,1,not launch
cpd9,1,launch
cpd23,1,not launch
cpd19,1,not launch
cpd25,1,launch
cpd20,1,not launch
cpd26,1,not launch
cpd16,1,launch
cpd1,1,not launch
cpd24,1,not launch
cpd22,1,not launch
cpd12,1,not launch
