instance,context,stay at home decision
cpd14,1,stay at home
cpd13,1,stay at home
cpd15,1,stay at home
cpd16,1,stay at home
cpd17,1,stay at home
cpd18,1,stay at home
cpd2,1,stay at home
cpd19,1,stay at home
cpd20,1,stay at home
cpd21,1,stay at home
cpd22,1,stay at home
cpd23,1,stay at home
cpd25,1,stay at home
cpd24,1,stay at home
cpd26,1,stay at home
cpd27,1,stay at home
cpd3,1,stay at home
cpd31,1,stay at home
cpd28,1,
cpd30,1,stay at home
cpd33,1,stay at home
cpd29,1,stay at home
cpd37,1,stay at home
cpd35,1,stay at home
cpd32,1,
cpd38,1,stay at home
cpd4,1,stay at home
cpd39,1,stay at home
cpd40,1,stay at home
cpd36,1,stay at home
cpd43,1,stay at home
cpd41,1,stay at home
cpd44,1,stay at home
cpd42,1,stay at home
cpd34,1,
cpd46,1,stay at home
cpd45,1,stay at home
cpd5,1,stay at home
cpd49,1,stay at home
cpd50,1,stay at home
cpd51,1,stay at home
cpd48,1,
cpd52,1,stay at home
cpd54,1,stay at home
cpd53,1,stay at home
cpd6,1,stay at home
cpd8,1,stay at home
cpd9,1,stay at home
cpd1,1,stay at home
cpd10,1,stay at home
cpd11,1,stay at home
cpd12,1,stay at home
cpd47,1,stay at home
cpd7,1,stay at home
