instance,context,stay at home decision
cpd41,1,
cpd3,1,
cpd43,1,stay at home
cpd53,1,not stay at home
cpd37,1,
cpd10,1,stay at home
cpd26,1,
cpd21,1,stay at home
cpd35,1,
cpd4,1,stay at home
cpd47,1,
cpd15,1,not stay at home
cpd42,1,
cpd14,1,
cpd49,1,stay at home
cpd33,1,
cpd34,1,stay at home
cpd51,1,stay at home
cpd11,1,
cpd29,1,
cpd16,1,
cpd7,1,
cpd27,1,stay at home
cpd5,1,stay at home
cpd6,1,not stay at home
cpd54,1,
cpd19,1,
cpd22,1,stay at home
cpd36,1,stay at home
cpd28,1,
cpd48,1,
cpd9,1,stay at home
cpd23,1,stay at home
cpd44,1,
cpd18,1,stay at home
cpd20,1,stay at home
cpd46,1,stay at home
cpd25,1,
cpd2,1,stay at home
cpd24,1,
cpd45,1,
cpd39,1,
cpd32,1,
cpd12,1,not stay at home
cpd31,1,
cpd8,1,
cpd50,1,stay at home
cpd1,1,stay at home
cpd38,1,
cpd17,1,stay at home
cpd40,1,stay at home
cpd52,1,
cpd30,1,stay at home
cpd13,1,stay at home
