instance,context,stay at home decision
cpd1,1,
cpd10,1,
cpd12,1,
cpd14,1,
cpd11,1,
cpd15,1,
cpd13,1,
cpd16,1,
cpd17,1,
cpd18,1,
cpd19,1,
cpd2,1,
cpd20,1,
cpd21,1,
cpd22,1,
cpd23,1,
cpd24,1,
cpd25,1,
cpd27,1,
cpd26,1,
cpd28,1,
cpd29,1,
cpd3,1,
cpd30,1,
cpd31,1,
cpd32,1,
cpd33,1,
cpd34,1,
cpd35,1,
cpd36,1,
cpd37,1,
cpd38,1,
cpd39,1,
cpd40,1,
cpd4,1,
cpd41,1,
cpd42,1,
cpd43,1,
cpd44,1,
cpd45,1,
cpd46,1,
cpd48,1,
cpd47,1,
cpd49,1,
cpd5,1,
cpd50,1,
cpd52,1,
cpd51,1,
cpd53,1,
cpd54,1,
cpd6,1,
cpd7,1,
cpd8,1,
cpd9,1,
