instance,context,study decision
cpd14,1,study less
cpd15,1,study less
cpd16,1,study more
cpd17,1,study less
cpd18,1,study more
cpd19,1,study more
cpd2,1,study less
cpd20,1,study less
cpd21,1,study more
cpd24,1,study more
cpd22,1,study less
cpd23,1,study more
cpd25,1,study less
cpd26,1,study more
cpd3,1,study more
cpd27,1,study more
cpd4,1,study more
cpd5,1,study more
cpd6,1,study more
cpd7,1,study more
cpd9,1,study more
cpd8,1,study more
cpd1,1,study more
cpd10,1,study more
cpd11,1,study more
cpd13,1,study more
cpd12,1,study more
