instance,context,launch decision
cpd15,1,not launch
cpd18,1,not launch
cpd21,1,not launch
cpd6,1,not launch
cpd5,1,not launch
cpd8,1,not launch
cpd4,1,not launch
cpd27,1,not launch
cpd2,1,not launch
cpd7,1,not launch
cpd9,1,not launch
cpd19,1,not launch
cpd25,1,not launch
cpd23,1,not launch
cpd20,1,not launch
cpd26,1,not launch
cpd16,1,not launch
cpd24,1,not launch
cpd1,1,not launch
cpd22,1,not launch
cpd12,1,not launch
cpd10,1,not launch
cpd11,1,not launch
cpd14,1,not launch
cpd17,1,not launch
cpd3,1,not launch
cpd13,1,not launch
