instance,context,investment decision
cpd7,1,do not invest
cpd11,1,invest
cpd2,1,do not invest
cpd15,1,invest
cpd3,1,do not invest
cpd19,1,invest
cpd27,1,do not invest
cpd21,1,invest
cpd25,1,do not invest
cpd5,1,invest
cpd8,1,do not invest
cpd14,1,invest
cpd24,1,invest
cpd17,1,do not invest
cpd10,1,invest
cpd26,1,do not invest
cpd18,1,do not invest
cpd23,1,do not invest
cpd4,1,do not invest
cpd12,1,invest
cpd13,1,invest
cpd1,1,do not invest
cpd22,1,do not invest
cpd16,1,do not invest
cpd9,1,do not invest
cpd20,1,invest
cpd6,1,do not invest
